Benchmark,Metric,exec,vm,vm_vs_exec_%_diff
CPU (Numpy),mean_s,0.0893602436919995,0.2660582168099994,+197.74%
CPU (Numpy),p50_s,0.08970606249999946,0.26394389550000597,+194.23%
CPU (Numpy),p90_s,0.09025042499999643,0.2774321920000006,+207.40%
CPU (Numpy),p95_s,0.09034184760000041,0.2818812172999983,+212.02%
CPU (Numpy),p99_s,0.09060819533000046,0.2934798015800009,+223.90%
CoreML (ALL),mean_s,0.0004920885750000253,0.00024261132699999167,-50.70%
CoreML (ALL),p50_s,0.0003812705000001415,0.00024183350000051007,-36.57%
CoreML (ALL),p90_s,0.0007793077000005866,0.00026483719999941256,-66.02%
CoreML (ALL),p95_s,0.0007859610499998837,0.00027527084999965366,-64.98%
CoreML (ALL),p99_s,0.0008372733300000234,0.0002932117500004239,-64.98%
CoreML (CPU_AND_GPU),mean_s,0.0001548777890000057,0.0002464820120000315,+59.15%
CoreML (CPU_AND_GPU),p50_s,0.00015095849999990918,0.0002451665000009484,+62.41%
CoreML (CPU_AND_GPU),p90_s,0.00016221220000076642,0.0002691332999990692,+65.91%
CoreML (CPU_AND_GPU),p95_s,0.0002115267499990913,0.0002825874999991206,+33.59%
CoreML (CPU_AND_GPU),p99_s,0.0002828770799998992,0.000320885419999879,+13.44%
CoreML (CPU_ONLY),mean_s,0.0001132001359999979,0.00024577898800000407,+117.12%
CoreML (CPU_ONLY),p50_s,0.00010525049999987601,0.00024004100000052375,+128.07%
CoreML (CPU_ONLY),p90_s,0.00012780359999879922,0.00027742109999948637,+117.07%
CoreML (CPU_ONLY),p95_s,0.00013914134999879475,0.0003011396000000221,+116.43%
CoreML (CPU_ONLY),p99_s,0.00024304533000101713,0.00036995684000035384,+52.22%
GPU (MLX),mean_s,0.04261793280300003,0.04460315541000014,+4.66%
GPU (MLX),p50_s,0.042624187500000854,0.04485714599999824,+5.24%
GPU (MLX),p90_s,0.042871863100003085,0.04552972560000157,+6.20%
GPU (MLX),p95_s,0.042910954500000376,0.04576791459999914,+6.66%
GPU (MLX),p99_s,0.043006344500001174,0.046134016249995045,+7.27%
PyTorch Tensor Math (MPS (Apple Silicon GPU)),mean_s,0.04202113212899991,0.04441324750000001,+5.69%
PyTorch Tensor Math (MPS (Apple Silicon GPU)),p50_s,0.04155516700000206,0.044502312500000585,+7.09%
PyTorch Tensor Math (MPS (Apple Silicon GPU)),p90_s,0.04332809200000511,0.04525455000000065,+4.45%
PyTorch Tensor Math (MPS (Apple Silicon GPU)),p95_s,0.04352863960000022,0.04555096694999996,+4.65%
PyTorch Tensor Math (MPS (Apple Silicon GPU)),p99_s,0.0436803240799977,0.0459961881600022,+5.30%
