Environment,Model,Iteration,Tokens_Per_Second,Time_To_First_Token_S,Generation_Time_S,Prompt_Tokens,Generation_Tokens
exec,Llama-3.2-1B-Instruct-4bit,1,133.07019630732628,0.05089725000000023,,,
vm,Llama-3.2-1B-Instruct-4bit,1,129.56320710768279,0.06184845800000005,,,
exec,Llama-3.2-1B-Instruct-4bit,2,131.9784122271848,0.06068100000000243,,,
vm,Llama-3.2-1B-Instruct-4bit,2,128.82096525501967,0.0747427089999988,,,
exec,Llama-3.2-1B-Instruct-4bit,3,132.30126569897337,0.060851459000001995,,,
vm,Llama-3.2-1B-Instruct-4bit,3,128.77260614796106,0.07376729099999935,,,
exec,Llama-3.2-1B-Instruct-4bit,4,132.16832748784674,0.06048775000000006,,,
vm,Llama-3.2-1B-Instruct-4bit,4,127.58952058922925,0.07370229100000003,,,
exec,Llama-3.2-1B-Instruct-4bit,5,132.2025312020271,0.05975700000000117,,,
vm,Llama-3.2-1B-Instruct-4bit,5,128.57184739852622,0.07661491700000056,,,
exec,Llama-3.2-1B-Instruct-4bit,6,132.3603982341779,0.05953008299999851,,,
vm,Llama-3.2-1B-Instruct-4bit,6,128.32813233950125,0.07815262500000131,,,
exec,Llama-3.2-1B-Instruct-4bit,7,132.1484338989473,0.0604276249999991,,,
vm,Llama-3.2-1B-Instruct-4bit,7,128.35480206616057,0.07511483400000074,,,
exec,Llama-3.2-1B-Instruct-4bit,8,132.0291217500285,0.060259999999999536,,,
vm,Llama-3.2-1B-Instruct-4bit,8,128.53396485845965,0.0742369169999968,,,
exec,Llama-3.2-1B-Instruct-4bit,9,132.0432779353395,0.06050862500000065,,,
vm,Llama-3.2-1B-Instruct-4bit,9,127.97852891422563,0.08215833399999894,,,
exec,Llama-3.2-1B-Instruct-4bit,10,131.91634906045027,0.059363750000002824,,,
vm,Llama-3.2-1B-Instruct-4bit,10,128.5006895728489,0.07512845799999823,,,
exec,Llama-3.2-1B-Instruct-4bit,11,132.06481181545627,0.0595161249999947,,,
vm,Llama-3.2-1B-Instruct-4bit,11,127.77148338516655,0.07513037500000053,,,
exec,Llama-3.2-1B-Instruct-4bit,12,132.0815993186305,0.060236124999995866,,,
vm,Llama-3.2-1B-Instruct-4bit,12,129.0708958665628,0.0645217080000009,,,
exec,Llama-3.2-1B-Instruct-4bit,13,132.14612313392144,0.06013720800000044,,,
vm,Llama-3.2-1B-Instruct-4bit,13,128.60635220050386,0.07415904100000148,,,
exec,Llama-3.2-1B-Instruct-4bit,14,132.27364288441123,0.060659582999996076,,,
vm,Llama-3.2-1B-Instruct-4bit,14,128.74320232119996,0.07211095899999975,,,
exec,Llama-3.2-1B-Instruct-4bit,15,132.22691716618164,0.060449124999998105,,,
vm,Llama-3.2-1B-Instruct-4bit,15,128.28847800282068,0.07798766700000215,,,
exec,Llama-3.2-1B-Instruct-4bit,16,132.07116238973938,0.06013383300000186,,,
vm,Llama-3.2-1B-Instruct-4bit,16,127.85776092598286,0.07427470800000435,,,
exec,Llama-3.2-1B-Instruct-4bit,17,131.92049295559244,0.05926187499999713,,,
vm,Llama-3.2-1B-Instruct-4bit,17,128.70796355929235,0.07382233300000252,,,
exec,Llama-3.2-1B-Instruct-4bit,18,132.08220412314319,0.06062445799999949,,,
vm,Llama-3.2-1B-Instruct-4bit,18,128.33734806647715,0.07880908399999953,,,
exec,Llama-3.2-1B-Instruct-4bit,19,132.18553664573912,0.06032033299999995,,,
vm,Llama-3.2-1B-Instruct-4bit,19,127.69381685135104,0.07412754199999938,,,
exec,Llama-3.2-1B-Instruct-4bit,20,131.92310454745027,0.0606126670000009,,,
vm,Llama-3.2-1B-Instruct-4bit,20,128.66319171979285,0.07433204200000176,,,
exec,Llama-3.2-1B-Instruct-4bit,21,131.92837060226557,0.06009787500000385,,,
vm,Llama-3.2-1B-Instruct-4bit,21,128.5937494898318,0.07491654199999687,,,
exec,Llama-3.2-1B-Instruct-4bit,22,131.95710777716286,0.06075858300000192,,,
vm,Llama-3.2-1B-Instruct-4bit,22,127.82907922684979,0.08073520800000011,,,
exec,Llama-3.2-1B-Instruct-4bit,23,132.10422509598476,0.061225499999999045,,,
vm,Llama-3.2-1B-Instruct-4bit,23,127.13117758667437,0.07359604099999473,,,
exec,Llama-3.2-1B-Instruct-4bit,24,131.48327969889823,0.05959745900000257,,,
vm,Llama-3.2-1B-Instruct-4bit,24,128.51461531508863,0.07545533399999726,,,
exec,Llama-3.2-1B-Instruct-4bit,25,132.16657895839558,0.059732457999999156,,,
vm,Llama-3.2-1B-Instruct-4bit,25,128.71252033444136,0.07414033400000619,,,
exec,Llama-3.2-1B-Instruct-4bit,26,132.09202372046224,0.05977141700000743,,,
vm,Llama-3.2-1B-Instruct-4bit,26,128.0870885249252,0.07249445799999421,,,
exec,Llama-3.2-1B-Instruct-4bit,27,131.9942561420745,0.05928491699999938,,,
vm,Llama-3.2-1B-Instruct-4bit,27,128.7894390144589,0.06850537500000087,,,
exec,Llama-3.2-1B-Instruct-4bit,28,132.14434395107986,0.06095066700000018,,,
vm,Llama-3.2-1B-Instruct-4bit,28,128.38756192834893,0.07812849999999116,,,
exec,Llama-3.2-1B-Instruct-4bit,29,132.098385432645,0.06066470799999024,,,
vm,Llama-3.2-1B-Instruct-4bit,29,128.58986046406906,0.07521245799999576,,,
exec,Llama-3.2-1B-Instruct-4bit,30,132.15086412647375,0.05993095799999537,,,
vm,Llama-3.2-1B-Instruct-4bit,30,128.49879215527397,0.07521445799999071,,,
exec,Llama-3.2-1B-Instruct-4bit,31,132.05789704813463,0.06003241700000217,,,
vm,Llama-3.2-1B-Instruct-4bit,31,128.37161444995894,0.07771662499999366,,,
exec,Llama-3.2-1B-Instruct-4bit,32,132.178304919085,0.06053300000000661,,,
vm,Llama-3.2-1B-Instruct-4bit,32,128.48086643087808,0.0752372500000007,,,
exec,Llama-3.2-1B-Instruct-4bit,33,131.92550949786371,0.059662791999997467,,,
vm,Llama-3.2-1B-Instruct-4bit,33,128.56013386777948,0.07576329100000123,,,
exec,Llama-3.2-1B-Instruct-4bit,34,132.0370691038785,0.05966808399999479,,,
vm,Llama-3.2-1B-Instruct-4bit,34,127.4171884920242,0.07601195800000937,,,
exec,Llama-3.2-1B-Instruct-4bit,35,132.21338439731036,0.05988604199998804,,,
vm,Llama-3.2-1B-Instruct-4bit,35,128.31853472263205,0.0784850830000039,,,
exec,Llama-3.2-1B-Instruct-4bit,36,132.01038193998627,0.05953983300000232,,,
vm,Llama-3.2-1B-Instruct-4bit,36,128.86645779142134,0.07195454200000029,,,
exec,Llama-3.2-1B-Instruct-4bit,37,132.02412558124075,0.06007699999999261,,,
vm,Llama-3.2-1B-Instruct-4bit,37,128.15659666004282,0.0775567499999994,,,
exec,Llama-3.2-1B-Instruct-4bit,38,132.10855117106718,0.06001558399999851,,,
vm,Llama-3.2-1B-Instruct-4bit,38,128.24100755745573,0.0793485420000053,,,
exec,Llama-3.2-1B-Instruct-4bit,39,132.0221397064483,0.060311999999996146,,,
vm,Llama-3.2-1B-Instruct-4bit,39,128.70506513776436,0.07452070799999433,,,
exec,Llama-3.2-1B-Instruct-4bit,40,131.9933147221627,0.059524542000005454,,,
